Datetime,Open Price,High Price,Low Price,Close Price,Total Volume
2020-01-01,79.25,79.97,79.04,79.74,981889.0
2020-01-02,78.36,78.72,78.05,78.55,1257064.0
2020-01-03,79.29,79.56,78.94,79.04,1580501.0
2020-01-06,80.39,80.72,80.35,80.4,693183.0
2020-01-07,79.66,80.34,79.26,79.38,1438734.0
2020-01-08,80.86,81.5,80.63,81.01,1223628.0
2020-01-09,81.34,81.48,81.14,81.16,1033184.0
2020-01-10,81.31,81.59,81.24,81.48,2161476.0
2020-01-13,79.11,79.74,78.94,79.34,765378.0
2020-01-14,77.1,77.3,77.06,77.12,1379803.0
2020-01-15,77.15,77.42,77.05,77.31,2488852.0
2020-01-16,77.92,78.77,77.46,78.28,844660.0
2020-01-17,77.42,78.13,77.26,77.47,1036704.0
2020-01-20,79.57,80.16,79.04,79.54,3885073.0
2020-01-21,80.78,81.29,80.46,80.48,1524528.0
2020-01-22,79.57,79.94,79.06,79.34,933691.0
2020-01-23,79.68,80.4,79.02,79.39,1796431.0
2020-01-24,82.74,82.77,82.22,82.56,905238.0
2020-01-27,81.05,81.34,80.52,80.97,549928.0
2020-01-28,81.35,81.66,81.35,81.65,2388514.0
2020-01-29,81.28,81.54,80.94,81.25,692782.0
2020-01-30,82.31,82.87,82.08,82.17,4097372.0
2020-01-31,84.2,84.27,83.47,83.83,941598.0
2020-02-03,83.51,83.68,82.79,83.33,3494261.0
2020-02-04,85.14,85.73,84.39,84.82,606624.0
2020-02-05,87.58,87.92,87.11,87.85,2008195.0
2020-02-06,87.87,89.04,87.76,87.96,1543963.0
2020-02-07,89.18,89.41,88.65,89.06,1828256.0
2020-02-10,88.55,89.62,86.68,88.25,1951310.0
2020-02-11,88.24,88.8,87.54,88.28,937646.0
2020-02-12,88.03,88.32,87.94,88.05,625044.0
2020-02-13,89.35,89.7,89.09,89.17,1172374.0
2020-02-14,90.58,91.5,90.41,90.89,1344476.0
2020-02-17,91.18,91.44,89.98,90.74,949867.0
2020-02-18,92.73,93.13,92.14,92.97,1381633.0
2020-02-19,94.7,95.62,93.86,95.25,1418078.0
2020-02-20,96.54,97.08,96.31,96.54,762980.0
2020-02-21,96.26,96.63,95.41,95.77,1465176.0
2020-02-24,95.03,95.99,94.67,94.86,1052200.0
2020-02-25,93.88,94.44,92.93,93.67,847469.0
2020-02-26,95.1,95.87,94.56,95.09,1782785.0
2020-02-27,93.26,93.83,93.08,93.3,815457.0
2020-02-28,93.87,94.65,93.11,94.31,957103.0
2020-03-02,92.1,92.73,91.99,92.73,1246718.0
2020-03-03,94.01,94.19,93.71,93.95,2390841.0
2020-03-04,94.36,95.1,93.2,93.99,1324297.0
2020-03-05,96.09,96.14,94.89,95.99,1566171.0
2020-03-06,97.93,98.67,97.74,97.74,1036312.0
2020-03-09,100.47,101.07,99.54,99.99,1156322.0
2020-03-10,102.43,102.57,101.83,102.33,1173571.0
2020-03-11,102.53,103.26,102.38,102.57,1392558.0
2020-03-12,100.48,101.37,100.12,100.73,1037180.0
2020-03-13,99.69,99.88,98.93,99.08,2350174.0
2020-03-16,96.04,96.27,94.99,95.89,997909.0
2020-03-17,94.01,94.35,93.62,94.28,512153.0
2020-03-18,94.06,94.53,93.79,94.39,4739292.0
2020-03-19,93.93,94.6,93.3,93.58,1021023.0
2020-03-20,93.03,94.49,92.87,93.32,2318857.0
2020-03-23,94.58,95.05,93.83,94.06,2427556.0
2020-03-24,92.85,93.76,92.43,93.62,1929183.0
2020-03-25,92.38,92.88,91.48,91.99,1089235.0
2020-03-26,92.06,92.3,91.62,91.92,1387956.0
2020-03-27,90.68,91.06,90.58,90.64,635867.0
2020-03-30,90.22,90.27,90.14,90.27,3252953.0
2020-03-31,92.73,93.21,91.71,92.21,785517.0
2020-04-01,92.02,92.15,91.31,91.83,1059227.0
2020-04-02,94.18,94.89,92.66,94.43,1263623.0
2020-04-03,96.1,97.18,95.94,96.6,1139705.0
2020-04-06,95.78,95.88,95.6,95.73,865933.0
2020-04-07,94.08,94.12,93.7,94.08,2414903.0
2020-04-08,93.59,94.71,93.55,94.01,1934075.0
2020-04-09,95.73,95.87,95.32,95.75,1412715.0
2020-04-10,94.86,96.02,94.25,95.02,984829.0
2020-04-13,96.41,97.19,96.25,96.4,2047516.0
2020-04-14,98.48,98.56,97.74,98.27,953377.0
2020-04-15,97.52,97.63,96.23,97.09,2637115.0
2020-04-16,96.33,96.69,94.62,96.07,1271376.0
2020-04-17,96.96,97.64,96.26,97.17,2224162.0
